Original Description,Original Statute,Corrected Statute,Charge Class,Other Class Possible,Standardized Description,Notes,Type
MFG/DEL HEROIN/SCH/PUB HS/PK,720 ILCS 570/407(b)(1),720 ILCS 570/407(b)(1),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL COCAINE/SCH/PUB HS/PK,720 ILCS 570/407(b)(1),720 ILCS 570/407(b)(1),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL PENT/SCH/PUB HS/PARK,720 ILCS 570/407(b)(1),720 ILCS 570/407(b)(1),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL FENTANYL/SCH/PUB HS/PK,720 ILCS 570/407(b)(1),720 ILCS 570/407(b)(1),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL BARB ACID/SC/PUB HS/PK,720 ILCS 570/407(b)(1),720 ILCS 570/407(b)(1),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
VIOLATION OF 1401(C) ON OR NEAR A SCHOOL/PARK,720 ILCS 570/407(b)(1),720 ILCS 570/407(b)(1),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL PCP/SCH/PUB HS/PARK,720 ILCS 570/407(b)(1),720 ILCS 570/407(b)(1),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL KETAMINE/SCH/PUB HS/PK,720 ILCS 570/407(b)(1),720 ILCS 570/407(b)(1),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL AMPH/SCH/PUB HS/PK,720 ILCS 570/407(b)(1),720 ILCS 570/407(b)(1),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL SCHED I/II/SCH/HS/PK,720 ILCS 570/407(b)(1),720 ILCS 570/407(b)(1),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DISTRIB LOOK-ALIKE SUB,720 ILCS 570/404(b),720 ILCS 570/404(b),F1,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE LOOK-ALIKE,,
METH MANUFACTURING/15<100 GR,720 ILCS 646/15(a)(1),720 ILCS 646/15(a)(2)(B),FX,,MANUFACTURE OF METHAMPHETAMINE,,
AGG METH MANU/WORSHIP/400+,720 ILCS 646/15(b)(1)(H),720 ILCS 646/15(b)(1)(H),FX,,MANUFACTURE OF METHAMPHETAMINE: AGGRAVATED,,
METH DELIVERY<5 GRAMS,720 ILCS 646/55(a)(1),720 ILCS 646/55(a)(2)(A),F2,,METHAMPHETAMINE DELIVERY,,
METH DELIVERY/15<100 GRAMS,720 ILCS 646/55(a)(1),720 ILCS 646/55(a)(2)(C),FX,,METHAMPHETAMINE DELIVERY,,
MOB ACTION/FORCE/2+ PERSONS,720 ILCS 5/25-1(a)(1),720 ILCS 5/25-1(a)(1),F4,,MOB ACTION,,
MOB ACTION/FAIL TO WITHDRAW,720 ILCS 5/25-1(e),720 ILCS 5/25-1(a)fail to withdraw),MA,,MOB ACTION,,
MOB ACTION/VIO TO PERSON/PROP,720 ILCS 5/25-1(a)(3),720 ILCS 5/25-1(a)(3),MC,,MOB ACTION,,
UNLWFL POSS>3VEH/PARTS/STOLEN,625 ILCS 5/4-103.2(a)(1),625 ILCS 5/4-103.2(a)(1),F1,,MOTOR VEHICLE OFFENSE: AGGRAVATED,,
"POSS STOLEN VEHICLE > $25,000",625 ILCS 5/4-103.2(a)(3),625 ILCS 5/4-103.2(a)(3),F1,,MOTOR VEHICLE OFFENSE: AGGRAVATED,,
POSS 2ND DIVISION VEH/STOLEN,625 ILCS 5/4-103.2(a)(5),625 ILCS 5/4-103.2(a)(5),F1,,MOTOR VEHICLE OFFENSE: AGGRAVATED,,
POSS LAW ENF/VEHICLE/STOLEN,625 ILCS 5/4-103.2(a)(6),625 ILCS 5/4-103.2(a)(6),F1,,MOTOR VEHICLE OFFENSE: AGGRAVATED,,
UNLWFL POSS/DRIVER/VEH/STOLEN,625 ILCS 5/4-103.2(a)(7)(A),625 ILCS 5/4-103.2(a)(7)(A),F1,,MOTOR VEHICLE OFFENSE: AGGRAVATED,,
RECEIVE/POSS/SELL STOLEN VEH,625 ILCS 5 4-103(a)(1) [5710001],625 ILCS 5/4-103,F2,,MOTOR VEHICLE RELATED OFFENSE,,
RECD/POSS/SELL STOLEN VEH/1ST,625 ILCS 5/4-103(a)(1),625 ILCS 5/4-103,F2,,MOTOR VEHICLE RELATED OFFENSE,,
RECEIVE/POSS/SELL STOLEN VEH,625 ILCS 5/4-103(a)(1),625 ILCS 5/4-103,F2,,MOTOR VEHICLE RELATED OFFENSE,,
AID/ABET/POSS/SELL STOLEN VEH,625 ILCS 5/4-103(a)(1),625 ILCS 5/4-103,F2,,MOTOR VEHICLE RELATED OFFENSE,,
RECEIVE/POSSESSION/SELL STOLEN VEHICLE,,625 ILCS 5/4-103,F2,,MOTOR VEHICLE RELATED OFFENSE,,
CONCEAL/MISREP VEHICLE ID,625 ILCS 5/4-103(a)(3),625 ILCS 5/4-103,F2,,MOTOR VEHICLE RELATED OFFENSE,,
FALSE REPORT OF VEHICLE THEFT,625 ILCS 5/4-103(a)(6),625 ILCS 5/4-103,F2,,MOTOR VEHICLE RELATED OFFENSE,,
VIO OFFEN/YOUTH/REGIS/IL,730 ILCS 154/10(a),730 ILCS 154/60,F3,,MURDERER / VIOLENT OFFENDER AGAINST YOUTH FAILURE TO REGISTER,,
FL REGIS 5 DAYS NEW RESID/SCH,730 ILCS 154/10(b),730 ILCS 154/60,F3,,MURDERER / VIOLENT OFFENDER AGAINST YOUTH FAILURE TO REGISTER,,
FAIL TO REPORT ANNUALLY,730 ILCS 154/30,730 ILCS 154/60,F3,,MURDERER / VIOLENT OFFENDER AGAINST YOUTH FAILURE TO REGISTER,,
FAIL TO REPORT ADDRESS CHANGE,730 ILCS 154/30,730 ILCS 154/60,F3,,MURDERER / VIOLENT OFFENDER AGAINST YOUTH FAILURE TO REGISTER,,
OBSTRUCT SERVICE OF PROCESS,720 ILCS 5/31-3,720 ILCS 5/31-3,MB,,OBSTRUCT SERVICE OF PROCESS,,
OBSTRUCTING IDENTIFICATION,720 ILCS 5 31-4.5(a) [14901],720 ILCS 5/31-4.5(a),MA,,OBSTRUCTING IDENTIFICATION,,
OBSTRUCTING IDENTIFICATION,720 ILCS 5/31-4.5(a),720 ILCS 5/31-4.5(a),MA,,OBSTRUCTING IDENTIFICATION,,
OBSTRUCTION OF,625 ILCS 5/11-1406,625 ILCS 5/11-1406,PETTY,,OBSTRUCTION OF DRIVER'S VIEW,Obtruction of driver's view,
OBSTRUCT JUST/DESTROY EVIDENCE,720 ILCS 5/31-4(a),720 ILCS 5/31-4(a),F4,,OBSTRUCTION OF JUSTICE,,
OBSTRUCT JUST/DESTROY EVIDENCE,720 ILCS 5/31-4(a)(1),720 ILCS 5/31-4(a),F4,,OBSTRUCTION OF JUSTICE,,
ACCESSORY TO CL B MISDEMEANOR,0 ILCS 0/,NONE,MB,,OTHER,,
ORDINANCE WARRANT,1,LOCAL,LOCAL,,OTHER,,
LOCAL CHARGES,Local Charges,LOCAL,LOCAL,,OTHER,,
LOCAL ORDINANCE,Local Ordinance,LOCAL,LOCAL,,OTHER,,
2ND OR SUBQ OFFENSE UNDER ACT,720 ILCS 570/408(a),720 ILCS 570/408(a),NONE,,OTHER,,
,-,NONE,NONE,,OTHER,,
PEDEST SOLICIT RIDES/BUSINESS,625 ILCS 5/11-1006,625 ILCS 5/11-1006,MA,,PEDESTRIAN SOLICITATION,,
PEDEST SOLICIT RIDE ON ROADWAY,625 ILCS 5/11-1006(a),625 ILCS 5/11-1006,MA,,PEDESTRIAN SOLICITATION,,
PEDESTRIAN/INFLUENCE DRUG/ALC,625 ILCS 5/11-1010,625 ILCS 5/11-1010,PETTY,,PEDESTRIAN SOLICITATION,,
HARASSMENT BY TELEPHONE,720 ILCS 5 26-5(2),720 ILCS 5/26.5-2,MB,,PHONE HARASSMENT,,
PHONE HARASSMENT/NO CONVERSATION,720 ILCS 5 26-5(2)(a),720 ILCS 5/26.5-2,MB,,PHONE HARASSMENT,,
HARASSMENT BY TELEPHONE,720 ILCS 135/1-1,720 ILCS 5/26.5-2,MB,,PHONE HARASSMENT,,
PHONE HARASSMENT/REPEAT CALLS,720 ILCS 5/26.5-2(a)(4),720 ILCS 5/26.5-2,MB,,PHONE HARASSMENT,,
OFFICER/GANG-RELATED ACTIVITY,720 ILCS 5/33-4(a),720 ILCS 5/33-4,F3,,POLICE OFFICER INVOLVEMENT IN GANG ACTIVITY,,
UNLAWFUL USE/POSSESSION OF WEAPON:FELON PRISONER,720 ILCS 5/24-1.1,720 ILCS 5/24-1.1(prison),F1,,POSSESSION OF A FIREARM / WEAPON BY A FELON,,
FELON POSS WEAPON IN PRISON,720 ILCS 5/24-1.1(b),720 ILCS 5/24-1.1(prison),F1,,POSSESSION OF A FIREARM / WEAPON BY A FELON,,
FELON POSSESS WEAPON/2ND+,720 ILCS 5 24-1.1(a) [13723],720 ILCS 5/24-1.1(2+),F2,,POSSESSION OF A FIREARM / WEAPON BY A FELON,,
FELON POSSESS WEAPON/2ND+,720 ILCS 5/24-1.1(a),720 ILCS 5/24-1.1(2+),F2,,POSSESSION OF A FIREARM / WEAPON BY A FELON,,
FELON POSS/USE FIREARM PRIOR,720 ILCS 5/24-1.1(a),720 ILCS 5/24-1.1(2+),F2,,POSSESSION OF A FIREARM / WEAPON BY A FELON,,
FELON POSS/USE FIREARM/PAROLE,720 ILCS 5/24-1.1(a),720 ILCS 5/24-1.1(parole),F2,,POSSESSION OF A FIREARM / WEAPON BY A FELON,,
FELON POSS/USE WEAPON/FIREARM,720 ILCS 5 24-1.1(a) [1214500],720 ILCS 5/24-1.1,F3,,POSSESSION OF A FIREARM / WEAPON BY A FELON,,
FELON POSS/USE WEAPON/FIREARM,720 ILCS 5/24-1.1(a),720 ILCS 5/24-1.1,F3,,POSSESSION OF A FIREARM / WEAPON BY A FELON,,
FELON POSS/USE WEAPON/FIREARM BODY ARMOR,720 ILCS 5/24-1.1(a),720 ILCS 5/24-1.1(body armor),FX,,POSSESSION OF A FIREARM / WEAPON BY A FELON,,
FELON POSS WEAPON/BODY ARMOR,720 ILCS 5/24-1.1(a),720 ILCS 5/24-1.1(body armor),FX,,POSSESSION OF A FIREARM / WEAPON BY A FELON,,
POSS FIREARM/LAND/GANG MBR,720 ILCS 5/24-1.8(a)(1),720 ILCS 5/24-1.8,F2,,POSSESSION OF A FIREARM BY A GANG MEMBER,,
POSS FIREARM/VEHICLE/GANG MBR,720 ILCS 5/24-1.8(a)(2),720 ILCS 5/24-1.8,F2,,POSSESSION OF A FIREARM BY A GANG MEMBER,,
POSSESSION OF STOLEN FIREARM,720 ILCS 5/24-3.8(a),720 ILCS 5/24-3.8,F2,,POSSESSION OF A STOLEN FIREARM,,
AGGRAVATED POSSESSION 11-20 STOLEN FIREARMS,720 ILCS 5/16-16.1(a,720 ILCS 5/24-3.9(a)(3),FX,,POSSESSION OF A STOLEN FIREARM: AGGRAVATED,720 ILCS 5/16-16.1 repealed,
POSSESS BURGLARY TOOLS,720 ILCS 5/19-2(a),720 ILCS 5/19-2,F4,,POSSESSION OF BURGLARY TOOLS,,
"POSSESS CANNABIS/>5,000 GRAMS",720 ILCS 550/4(g),720 ILCS 550/4(g),F1,,POSSESSION OF CANNABIS,,
"POSS CANNABIS/2000<5,000 GRAMS",720 ILCS 550/4(f),720 ILCS 550/4(f),F2,,POSSESSION OF CANNABIS,,
POSS CANNABIS/30-500 GRAM/SUBQ,720 ILCS 550/4(d),720 ILCS 550/4(d),F3,,POSSESSION OF CANNABIS,,
ILLEGAL POSSESSION OF CANNABIS:30 TO 500 GRAMS,720 ILCS 550/4(d),720 ILCS 550/4(d),F3,,POSSESSION OF CANNABIS,,
POSS CANNABIS/30-500 GRAM/1ST,720 ILCS 550/4(d),720 ILCS 550/4(d),F3,,POSSESSION OF CANNABIS,,
POSSESS CANNABIS/>500 GRAMS,720 ILCS 550/4(e),720 ILCS 550/4(e),F3,,POSSESSION OF CANNABIS,,
"POSS CANNABIS/500<2,000 GRAMS",720 ILCS 550/4(e),720 ILCS 550/4(e),F3,,POSSESSION OF CANNABIS,,
POSS CANNABIS/10-30 GRAM/1ST,720 ILCS 550/4(c),720 ILCS 550/4(c),MA,,POSSESSION OF CANNABIS,,
POSS CANNABIS/10-30 GRAM/SUBQ,720 ILCS 550/4(c),720 ILCS 550/4(c),MA,,POSSESSION OF CANNABIS,,
POSS CANNABIS 10-30 GRAMS,,720 ILCS 550/4(c),MA,,POSSESSION OF CANNABIS,,
POSSESS CANNABIS/2.5-10 GRAMS,720 ILCS 550/4(b),720 ILCS 550/4(b),MB,,POSSESSION OF CANNABIS,,
POSSESS CANNABIS< 2.5 GRAMS,720 ILCS 550/4(a),720 ILCS 550/4(a),MC,,POSSESSION OF CANNABIS,,
POSS CREDIT CARD OF ANOTHER,720 ILCS 250/5,720 ILCS 250/5,F4,,POSSESSION OF CREDIT CARD OF ANOTHER,,
POSSESSION OF METH/15<100GRAMS,720 ILCS 646/60(a),720 ILCS 646/60(b)(3),F1,,POSSESSION OF METHAMPHETAMINE,,
POSSESSION OF METH/5<15 GRAMS,720 ILCS 646/60(a),720 ILCS 646/60(b)(2),F2,,POSSESSION OF METHAMPHETAMINE,,
POSSESSION OF METH< 5 GRAMS,720 ILCS 646 60(a) [13997],720 ILCS 646/60(b)(1),F3,,POSSESSION OF METHAMPHETAMINE,,
POSSESSION OF METH< 5 GRAMS,720 ILCS 646/60(a),720 ILCS 646/60(b)(1),F3,,POSSESSION OF METHAMPHETAMINE,,
POSSESSION OF METH/100<400 GR,720 ILCS 646/60(a),720 ILCS 646/60(b)(4),FX,,POSSESSION OF METHAMPHETAMINE,,
POSSESSION OF METH/900+ GRAMS,720 ILCS 646/60(a),720 ILCS 646/60(b)(5),FX,,POSSESSION OF METHAMPHETAMINE,,
POSS METH MANUF MATERIAL,720 ILCS 646/30(a),720 ILCS 646/30(a),F2,,POSSESSION OF METHAMPHETAMINE MANUFACTURING MATERIAL,,
PRED CRIM SEX ASLT/VICTIM <13,720 ILCS 5 11-1.40(a)(1) [15807],720 ILCS 5/11-1.40(a)(1),FX,,PREDATORY SEXUAL ASSAULT,,
PRED CRIM SEX ASLT/VICTIM <13,720 ILCS 5/11-1.40(a)(1),720 ILCS 5/11-1.40(a)(1),FX,,PREDATORY SEXUAL ASSAULT,,
PREDATORY CRIMINAL SEXUAL ASLT,720 ILCS 5/12-14.1(a)(1),720 ILCS 5/11-1.40(a)(1),FX,,PREDATORY SEXUAL ASSAULT,,
PRED CRIM SEX ASLT/VIC <13/FIR,720 ILCS 5/11-1.40(a)(2)(A),720 ILCS 5/11-1.40(a)(2)(A),FX,,PREDATORY SEXUAL ASSAULT,,
PRED CRIM SEX ASSAULT/FIREARM,720 ILCS 5/12-14.1(a)(1.1),720 ILCS 5/11-1.40(a)(2)(A),FX,,PREDATORY SEXUAL ASSAULT,,
PRED CRIM SEX ASLT/BODILY HARM,720 ILCS 5/11-1.40(a)(2)(C),720 ILCS 5/11-1.40(a)(2)(C),FX,,PREDATORY SEXUAL ASSAULT,,
PREDATORY CRIM SEX ASLT/HARM,720 ILCS 5/12-14.1(a)(2),720 ILCS 5/11-1.40(a)(2)(C),FX,,PREDATORY SEXUAL ASSAULT,,
PRED CRIM SEX ASSAULT/CON SUB,720 ILCS 5/11-1.40(a)(2)(D),720 ILCS 5/11-1.40(a)(2)(D),FX,,PREDATORY SEXUAL ASSAULT,,
PRED CRIM SEX ASLT/CON SUB,720 ILCS 5/12-14.1(a)(3),720 ILCS 5/11-1.40(a)(2)(D),FX,,PREDATORY SEXUAL ASSAULT,,
OTHER DAMAGE/SCHOOL $300<10K,720 ILCS 5/21-1(1)(f),"720 ILCS 5/21-1(a)(8/9)(300-10K, place)",F3,,PROPERTY DAMAGE,,
KNOW DAMAGE PROP >$300-10K,720 ILCS 5/21-1(1)(a),720 ILCS 5/21-1(a)(8/9)(300-10K),F4,,PROPERTY DAMAGE,,
RECKLESS DAMAGE/PROP>$300-10K,720 ILCS 5/21-1(1)(b),720 ILCS 5/21-1(a)(8/9)(300-10K),F4,,PROPERTY DAMAGE,,
CRIM DMG TO PROP $300-10K,720 ILCS 5/21-1(a)(1),720 ILCS 5/21-1(a)(8/9)(300-10K),F4,,PROPERTY DAMAGE,,
KNOWINGLY DAMAGE PROP<$300,720 ILCS 5/21-1(1)(a),720 ILCS 5/21-1(a)(8/9)(<300),MA,,PROPERTY DAMAGE,,
PROSTITUTION,720 ILCS 5/11-14,720 ILCS 5/11-14(a),MA,,PROSTITUTION,,
PROSTITUTION,720 ILCS 5/11-14(a),720 ILCS 5/11-14(a),MA,,PROSTITUTION,,
PUBLIC INDECENCY/SEX CONDUCT,720 ILCS 5/11-30(a)(1),720 ILCS 5/11-30,F4,,PUBLIC INDECENCY,,
PUBLIC INDECENCY/EXPOSURE/3+,720 ILCS 5/11-30(a)(2),720 ILCS 5/11-30(3+),F4,,PUBLIC INDECENCY,,
PUB INDECENCY/EXPOSURE/SCHOOL,720 ILCS 5/11-30(a)(2),720 ILCS 5/11-30(school),F4,,PUBLIC INDECENCY,,
PUBLIC INDECENCY/LEWD EXPOSURE,720 ILCS 5/11-30(a)(2),720 ILCS 5/11-30,MA,,PUBLIC INDECENCY,,
PUBLIC INDECENCY/SEX,720 ILCS 5/11-9(a)(1),720 ILCS 5/11-30,MA,,PUBLIC INDECENCY,,
PUBLIC INDECENCY/DEVIATE COND,720 ILCS 5/11-9(a)(2),720 ILCS 5/11-30,MA,,PUBLIC INDECENCY,,
PUBLIC INDECENCY/LEWD EXPOSURE,720 ILCS 5/11-9(a)(2),720 ILCS 5/11-30,MA,,PUBLIC INDECENCY,,
PUB INDECENCY/SEX CONDUCT 3+,720 ILCS 5/11-30(a)(1),720 ILCS 5/11-30(3+),MA,,PUBLIC INDECENCY,,
RICO CONSPIRE TO VIOLATE,720 ILCS 5/33G-4(a)(3),720 ILCS 5/33G-4(a)(3),FX,,RACKETEERING,,
RECK CONDUCT/GREAT BODILY HARM,720 ILCS 5/12-5(a-5),720 ILCS 5/12-5(a)(2),F4,,RECKLESS CONDUCT,,
RECK CONDUCT/GREAT BODILY HARM,720 ILCS 5/12-5(a)(2),720 ILCS 5/12-5(a)(2),F4,,RECKLESS CONDUCT,,
RECKLESS CONDUCT,720 ILCS 5/12-5,720 ILCS 5/12-5(a)(1),MA,,RECKLESS CONDUCT,,
RECKLESS CONDUCT,720 ILCS 5/12-5(a),720 ILCS 5/12-5(a)(1),MA,,RECKLESS CONDUCT,,
RECKLESS CONDUCT/BODILY HARM,720 ILCS 5/12-5(a)(1),720 ILCS 5/12-5(a)(1),MA,,RECKLESS CONDUCT,,
RECKLESS DISCHARGE OF FIREARM,720 ILCS 24/1.5(a),720 ILCS 5/24-1.5,F4,,RECKLESS DISCHARGE OF A FIREARM,,
RECK DISCH FIREARM/ENDANGERS,720 ILCS 5/24-1.5(a),720 ILCS 5/24-1.5,F4,,RECKLESS DISCHARGE OF A FIREARM,,
RECK DISCH FIREARM/PASSENGER,720 ILCS 5/24-1.5(b),720 ILCS 5/24-1.5,F4,,RECKLESS DISCHARGE OF A FIREARM,,
RECKLESS DRIVING,625 ILCS 5/11-503(a),625 ILCS 5/11-503(a),MA,,RECKLESS DRIVING,,
RECKLESS DRIVING,625 ILCS 5 11-503(a)(1) [13564],625 ILCS 5/11-503(a),MA,,RECKLESS DRIVING,,
RECKLESS DRIVING,625 ILCS 5/11-503(a)(1),625 ILCS 5/11-503(a),MA,,RECKLESS DRIVING,,
AGG RECKLESS DRVG/BODILY HARM,625 ILCS 5/11-503(a)(1),625 ILCS 5/11-503(b-1),F4,,RECKLESS DRIVING: AGGRAVATED,,
RECK HOMIC/ALC/KILL 2 INDIV,720 ILCS 5/9-3(a),720 ILCS 5/9-3(a)(e-13),F2,,RECKLESS HOMICIDE,,
RECKLESS HOMICIDE/MTR VEHICLE,720 ILCS 5 9-3(a) [12583],720 ILCS 5/9-3(a),F3,,RECKLESS HOMICIDE,,
RECKLESS HOMICIDE/MTR VEHICLE,720 ILCS 5/9-3(a),720 ILCS 5/9-3(a),F3,,RECKLESS HOMICIDE,,
RECKLESS HOMICIDE,720 ILCS 5/9-3(a),720 ILCS 5/9-3(a),F3,,RECKLESS HOMICIDE,,
RESIDENTIAL ARSON,720 ILCS 5/20-1(b),720 ILCS 5/20-1(b),F1,,RESIDENTIAL ARSON,,
RESIDENTIAL BURGLARY,720 ILCS 5/19-3,720 ILCS 5/19-3,F1,,RESIDENTIAL BURGLARY,,
RESIDENTIAL BURGLARY/FALSE REP,720 ILCS 5/19-3(a-5),720 ILCS 5/19-3,F1,,RESIDENTIAL BURGLARY,,
RESIDENTIAL BURGLARY,720 ILCS 5/19-3(a),720 ILCS 5/19-3,F1,,RESIDENTIAL BURGLARY,,
RESIDENTIAL BURGLARY,720 ILCS 5 19-3(a) [1120000],720 ILCS 5/19-3(a),F1,,RESIDENTIAL BURGLARY,,
RESIDENTIAL PICKETING,720 ILCS 5/21.1-2,720 ILCS 5/21.1-2,MB,,RESIDENTIAL PICKETING,,
DISARM PC OFF/CORR INST EMP,720 ILCS 5/31-1a(a),720 ILCS 5/31-1a(a),F1,,RESIST / OBSTRUCT A POLICE OFFICER,,
ATTEMPT DISARM PC OFF/CORR EMP,720 ILCS 5/31-1a(b),720 ILCS 5/31-1a(b),F2,,RESIST / OBSTRUCT A POLICE OFFICER,,
RESIST/PC OFF/CORR/FRFTR/INJ,720 ILCS 5/31-1(a-7),720 ILCS 5/31-1(a-7),F4,,RESIST / OBSTRUCT A POLICE OFFICER,,
RESIST/OBSTRUCT OFFICER/INJURY,720 ILCS 5/31-1(a-7),720 ILCS 5/31-1(a-7),F4,,RESIST / OBSTRUCT A POLICE OFFICER,,
RESIST/OBSTRUCT PEACE OFFICER,720 ILCS 5/31-1,720 ILCS 5/31-1,MA,,RESIST / OBSTRUCT A POLICE OFFICER,,
RESISTING OR OBSTRUCTING A PEACE OFFICER,720 ILCS 5/31-1,720 ILCS 5/31-1,MA,,RESIST / OBSTRUCT A POLICE OFFICER,,
RESIST AN OFFICER,0 ILCS 0/,720 ILCS 5/31-1(a-5),MA,,RESIST / OBSTRUCT A POLICE OFFICER,Class 4 if an injury results (sub. a-7),
RESIST/OBSTRUCT OFFICER,625 ILCS 45/2-4,720 ILCS 5/31-1(a),MA,,RESIST / OBSTRUCT A POLICE OFFICER,,
RESIST/PC OFF/CORR EMP/FRFTR,720 ILCS 5/31-1(a),720 ILCS 5/31-1(a),MA,,RESIST / OBSTRUCT A POLICE OFFICER,,
RESIST/PEACE OFFICER/CORR EMP,720 ILCS 5/31-1(a),720 ILCS 5/31-1(a),MA,,RESIST / OBSTRUCT A POLICE OFFICER,,
RETAIL THEFT /DISP MERCH/$300,,720 ILCS 5/16-22(a)(1)(f)(3),F3,,RETAIL THEFT,,
RETAIL THEFT,720 ILCS 5/16-25,720 ILCS 5/16-25(a)(1),F3,,RETAIL THEFT,,
RETAIL THEFT,[460],720 ILCS 5/16-25(a)(1),F3,A,RETAIL THEFT,"Class 3 felony highest possible charge, assuming 2 prior convictions and / or in excess of $300",
RETAIL THEFT,720 ILCS 5/16A,720 ILCS 5/16-25(a)(1),F3,,RETAIL THEFT,,
RET THEFT/DISP MERCH/>$300,720 ILCS 5/16-25(a)(1),720 ILCS 5/16-25(a)(1)(>300),F3,,RETAIL THEFT,,
RET THEFT/DISPLAY MERCH/>$300,720 ILCS 5/16A-3(a),720 ILCS 5/16-25(a)(1)(>300),F3,,RETAIL THEFT,,
RET THEFT/REM FROM PACK/>$300,720 ILCS 5/16A-3(c),720 ILCS 5/16-25(a)(1)(>300),F3,,RETAIL THEFT,,
RET THEFT/SWITCH PRICE/>$300,720 ILCS 5/16-25(a)(2),720 ILCS 5/16-25(a)(2)(>300),F3,,RETAIL THEFT,,
RETAIL THEFT/SHOP CART/>$300,720 ILCS 5/16-25(a)(5),720 ILCS 5/16-25(a)(5)(>300),F3,,RETAIL THEFT,,
RETAIL THEFT/FALSE REP/>$300,720 ILCS 5/16-25(a)(6),720 ILCS 5/16-25(a)(6)(>300),F3,,RETAIL THEFT,,
RET THEFT/LES RTN PROP/>$300,720 ILCS 5/16-25(a)(8),720 ILCS 5/16-25(a)(8)(>300),F3,,RETAIL THEFT,,
THEFT/EMERGENCY EXIT <$300,720 ILCS 5/16A-3.5,"720 ILCS 5/16-25(a)(1)(<300, exit)",F4,,RETAIL THEFT,,
THEFT/MOTOR FUEL/<$150/PRECONV,720 ILCS 5/16-25(a)(1),"720 ILCS 5/16-25(a)(1)(<300, prior)",F4,,RETAIL THEFT,,
THEFT/DISP MERCH/<$300/PRECONV,720 ILCS 5/16-25(a)(1),"720 ILCS 5/16-25(a)(1)(<300, prior)",F4,,RETAIL THEFT,,
THEFT <$150/PREV FEL CONVIC,720 ILCS 5/16A-10(2),"720 ILCS 5/16-25(a)(1)(<300, prior)",F4,,RETAIL THEFT,,
RET THEFT/DISP MERCH/<$150/2+,720 ILCS 5/16A-3(a),"720 ILCS 5/16-25(a)(1)(<300, prior)",F4,,RETAIL THEFT,,
THEFT/FALSE REP/<$300/PRECONV,720 ILCS 5/16-25(a)(6),"720 ILCS 5/16-25(a)(6)(<300, prior)",F4,,RETAIL THEFT,,
THFT/LES RTN PROP/<300/PRECONV,720 ILCS 5/16-25(a)(8),"720 ILCS 5/16-25(a)(8)(<300, prior)",F4,,RETAIL THEFT,,
RETAIL THEFT/DISP MERCH/<$300,720 ILCS 5/16-25(a)(1),720 ILCS 5/16-25(a)(1)(<300),MA,,RETAIL THEFT,,
RETAIL THEFT/MOTOR FUEL/<$150,720 ILCS 5/16-25(a)(1),720 ILCS 5/16-25(a)(1)(<300),MA,,RETAIL THEFT,,
RET THEFT/DISP MERCH/<$150/1ST,720 ILCS 5/16A-3(a),720 ILCS 5/16-25(a)(1)(<300),MA,,RETAIL THEFT,,
RET THEFT/DISP MERCH/<$300,720 ILCS 5/16A-3(a),720 ILCS 5/16-25(a)(1)(<300),MA,,RETAIL THEFT,,
RETAIL THEFT/FALSE REP <$300,720 ILCS 5 16A-3(f) [15614],720 ILCS 5/16-25(a)(1)(<300),MA,,RETAIL THEFT,,
RETAIL THEFT/FALSE REP <$300,720 ILCS 5/16A-3(f),720 ILCS 5/16-25(a)(1)(<300),MA,,RETAIL THEFT,,
RETAIL THEFT/SHOP CART/<$300,720 ILCS 5/16-25(a)(5),720 ILCS 5/16-25(a)(5)(<300),MA,,RETAIL THEFT,,
RETAIL THEFT/FALSE REP/<$300,720 ILCS 5/16-25(a)(6),720 ILCS 5/16-25(a)(6)(<300),MA,,RETAIL THEFT,,
RET THEFT/LES RTN PROP/<$300,720 ILCS 5/16-25(a)(8),720 ILCS 5/16-25(a)(8)(<300),MA,,RETAIL THEFT,,
ROBBERY/VIC HANDICAP OR 60+ YR,720 ILCS 5/18-1(a),720 ILCS 5/18-1(a)(60+),F1,,ROBBERY,,
ROBBERY/SCHOOL/PLACE WORSHIP,720 ILCS 5/18-1(a),720 ILCS 5/18-1(a)(place),F1,,ROBBERY,,
ROBBERY/SCH/DAY CARE/WORSHIP,720 ILCS 5/18-1(a),720 ILCS 5/18-1(a)(place),F1,,ROBBERY,,
ROBBERY,38-18-1,720 ILCS 5/18-1(a),F2,,ROBBERY,,
ROBBERY,720 ILCS 5/18-1,720 ILCS 5/18-1(a),F2,,ROBBERY,,
